Title,Author,Publisher,Price,Quantity
Christmas List,Maria Clara Ribeiro,Two of Us,99,10
Unauthorized Harry Potter Book Seven News: Half-Blood Prince Analysis and Speculation,W. Frederick Zimmerman,Nimble Books,23,3
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,Scholastic,45,6
The Ultimate Hitchhikers Guide: Five Complete Novels and One Story (Hitchhikers Guide to the Galaxy  #1-5),Douglas Adams,Gramercy Books,23,12
The Ultimate Hitchhikers Guide to the Galaxy (Hitchhikers Guide to the Galaxy  #1-5),Douglas Adams,Del Rey Books,456,34
The Hitchhikers Guide to the Galaxy (Hitchhikers Guide to the Galaxy  #1),Douglas Adams,Crown,74,82
The Hitchhikers Guide to the Galaxy (Hitchhikers Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,Random House Audio,40,486
The Ultimate Hitchhikers Guide (Hitchhikers Guide to the Galaxy  #1-5),Douglas Adams,Wings Books,91,374
Bill Brysons African Diary,Bill Bryson,Broadway Books,13,264
Brysons Dictionary of Troublesome Words: A Writers Guide to Getting It Right,Bill Bryson,Broadway Books,30,178
In a Sunburned Country,Bill Bryson,Broadway Books,61,460
The Lost Continent: Travels in Small Town America,Bill Bryson,William Morrow Paperbacks,5,360
Neither Here nor There: Travels in Europe,Bill Bryson,William Morrow Paperbacks,52,212
Notes from a Small Island,Bill Bryson,William Morrow Paperbacks,53,451
The Mother Tongue: English and How It Got That Way,Bill Bryson,William Morrow Paperbacks,20,446
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,Ballantine Books,14,177
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,Houghton Mifflin Harcourt,73,451
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,Houghton Mifflin Harcourt,30,141
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,Houghton Mifflin Harcourt,8,158
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,Houghton Mifflin Harcourt,90,207
The Lord of the Rings: Complete Visual Companion,Jude Fisher,Houghton Mifflin Harcourt,96,370
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,Pragmatic Bookshelf,21,137
Hatchet (Brians Saga  #1),Gary Paulsen,Atheneum Books for Young Readers: Richard Jackson Books,43,448
Hatchet: A Guide for Using Hatchet in the Classroom,Donna Ickes/Edward Sciranko/Keith Vasconcelles,Teacher Created Resources,30,236
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,Delacorte Press,21,182
Molly Hatchet - 5 of the Best,Molly Hatchet,Cherry Lane Music Company,30,7
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,The New Press,63,127
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,Changeling Press,58,472
Changeling (Changeling  #1),Delia Sherman,Viking Juvenile,49,315
The Changeling Sea,Patricia A. McKillip,Firebird,16,73
The Changeling,Zilpha Keatley Snyder,iUniverse,34,216
The Changeling,Kate Horsley,Shambhala,5,203
The Changeling (Daughters of England  #15),Philippa Carr,Ivy Books,49,197
The Known World,Edward P. Jones,Amistad,83,296
The Known World,Edward P. Jones/Kevin R. Free,HarperAudio,76,405
The Known World,Edward P. Jones,Harper,8,491
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,FT Press,99,153
Artesia: Adventures in the Known World,Mark Smylie,Archaia,67,287
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,Farrar  Straus and Giroux,63,207
Uncommon Carriers,John McPhee,Farrar Straus Giroux,35,381
Heirs of General Practice,John McPhee,Farrar  Straus and Giroux,84,495
The Control of Nature,John McPhee,Farrar  Straus and Giroux,15,384
Annals of the Former World,John McPhee,Farrar  Straus and Giroux,20,116
Coming Into the Country,John McPhee,Farrar  Straus and Giroux,27,331
